Timestamp,How old are you?,Gender:,Job:,Do you use the metro?,Which metro do you use more?,How many days do you usually use the metro each week?,Do you usually pay for your ticket? (Your answer is completely anonymous!),Have you ever tried to not pay?,Can you tell us how that experience did go? Was it easy? Did you fear you might get caught? Have you been controlled?,Why do you sometimes prefer not to pay for your ticket?,Can you tell us why you’ve never tried on a free ride?,Do you easily notice when someone doesn't pay for his/her ride?,"If someone wants you to help him to not pay for his ticket, would you do so? Why?",What is your reaction when you see someone passing through (the barrier if it is in Lisboa) without paying?,"There is a warning light on the floor and an alarm sound, which are activated as soon as someone passes without a valid ticket. Would you be more likely to pay in this case?",Would this motivate you to judge someone who is not paying?,"In such a case, would you consider calling that person?",And would you consider calling a nearby authority?,...cheaper?,...quicker to buy a ticket?,...easier to buy a ticket?,How pleased are you with the use of the Metro ?,What would you recommend to increase the general satisfaction of the metro users ?
16/10/2018 19:18:28,18 - 24,Female/ Femino,Student/ Estudante,Yes,Lisboa,7,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","Sim, tive e tenho medo porque faço na mesma isso várias vezes",It saves money. / Para poupar dinheiro,,Yes / Sim,"Sim ajudo, desde que não seja regularmente ",Nenhuma. Ele é que fez bem! ,Maybe / Talvez,No / Não,No / Não,No / Não,,,,8,Dias de descontos 
16/10/2018 19:20:09,18 - 24,Female/ Femino,Student/ Estudante,No,,,,,,,,,,,,,,,Maybe / Talvez,Maybe / Talvez,Maybe / Talvez,7,
16/10/2018 19:25:40,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","Foi fácil, mas há sempre aquele medo do pica",It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,Yes / Sim,No,"I get mad
",Yes / Sim,Yes / Sim,Maybe / Talvez,Maybe / Talvez,,,,5,
16/10/2018 19:26:14,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,4,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Princípios éticos e morais,Yes / Sim,"deixo passar atrás, porque não?",não quero saber mas desgosto da pessoa,No / Não,Yes / Sim,No / Não,No / Não,,,,6,Mais comboios
16/10/2018 19:26:18,18 - 24,Apache Helicopter,Student/ Estudante,Yes,Lisboa,4,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","No Porto nunca paguei bilhete, visto nao haver cancelas e ser fácil fugir aos picas. Em Lisboa ja andei algumas vezes, passando junto com amigos na mesma cancela e como a fiscalização é quase nula, também foi bastante facil. ","It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa, Nao ter dinheiro comigo",,Yes / Sim,Depende do aspeto da pessoa.,Tou-me a cagar,Yes / Sim,Yes / Sim,No / Não,Maybe / Talvez,,,,0,Que o serviço do metro de lisboa deixe de ser uma merda
16/10/2018 19:27:13,18 - 24,Female/ Femino,Student/ Estudante,Yes,Lisboa,7,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,"Não, não está correto",Ignoro,Yes / Sim,No / Não,No / Não,No / Não,,,,4,Maior regularidade
16/10/2018 19:30:31,18 - 24,Male/ Masculino,Retired/ Reformado,Yes,Lisboa,3,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","I thought I lost my ticket, so I got out behind someone else. It was easy once I saw there was no one around. It was at Santa Apolónia station",I thought I lost my ticket,,Yes / Sim,"No, because I don't agree with the action","I'm used to it, but it's still bad because the service is bad enough with most of us paying",Yes / Sim,No / Não,No / Não,No / Não,,,,7,Increasing the conditions of the current cars. In certain places the noise is unbearable
16/10/2018 19:30:41,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,2,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Values,Yes / Sim,I would. You never know how you're dealing with.,I try to ignore,No / Não,No / Não,No / Não,No / Não,,,,4,Just some way to decrease the concentration of people
16/10/2018 19:31:33,18 - 24,Female/ Femino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,"Não, por mim se o quiserem fazer desde que eu não tenha nada a ver, ou seja, desde que não me peçam ajudam podem passar... Se pedirem eu tento negar com alguma delicadeza ",É bastante comum portanto ignoro ,Yes / Sim,Maybe / Talvex,No / Não,Maybe / Talvez,,,,4,"Melhores condições, em termos de bancos e ventilação "
16/10/2018 19:35:18,25 - 34,Female/ Femino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,3,No / Não,,,It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,Yes / Sim,fdsfdsf,fdssdf,Yes / Sim,Maybe / Talvex,Maybe / Talvez,No / Não,,,,8,
16/10/2018 20:00:50,18 - 24,Female/ Femino,Student/ Estudante,Yes,Lisboa,7,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Para não pagar multa ,Yes / Sim,No,Nenhuma,Yes / Sim,Yes / Sim,Maybe / Talvez,Yes / Sim,,,,8,
16/10/2018 20:03:48,18 - 24,Female/ Femino,Student/ Estudante,Yes,Porto,0,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Existem picas,No / Não,"Não, porque eu pago o meu",Acho falta de respeito,Yes / Sim,Maybe / Talvex,Maybe / Talvez,Maybe / Talvez,,,,7,
16/10/2018 20:04:35,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Não é eticamente correcto.,Yes / Sim,Não. Só tem direito a usar o metro quem paga pelo bilhete.,Desprezo,Yes / Sim,Yes / Sim,No / Não,Maybe / Talvez,,,,3,Aumentar a frequência da circulação; Expandir a sua rede (estações novas) correctamente.
16/10/2018 20:08:43,18 - 24,Female/ Femino,Student/ Estudante,No,,,,,,,,,,,,,,,Maybe / Talvez,Yes / Sim,Yes / Sim,5,"Mais carruagens
Mais lugares sentados
Preços mais acessíveis"
16/10/2018 20:12:42,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",,It saves money. / Para poupar dinheiro,,Yes / Sim,y,y,Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,4,
16/10/2018 20:13:35,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Porto,1,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,No / Não,Não ,Não acho bem ,Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,6,
16/10/2018 20:15:38,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,pq acho q devo pagar por qlqr serviço q me é fornecido (?),Yes / Sim,n me quero chatear,é chato,Maybe / Talvez,No / Não,No / Não,No / Não,,,,7,passar mais frequentemente
16/10/2018 20:16:01,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Porto,1,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",Easy.,It saves money. / Para poupar dinheiro,,No / Não,No. Because is not correct.,Fuck it.,Maybe / Talvez,No / Não,No / Não,No / Não,,,,9,"Lower prices, obviously."
16/10/2018 20:20:08,25 - 34,Female/ Femino,Employed/ Empregado,Yes,Lisboa,3,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Não considero correto.,No / Não,"Não. Porque se não tem possibilidades, existem outros meios de transportes e não devem prejudicar outros. ",É indiferente. Cada um sabe de si e deve assumir as suas responsabilidades,Maybe / Talvez,No / Não,Maybe / Talvez,No / Não,,,,3,"Melhor higiene, mais carruagens, menos tempo entre metros, melhores condições das carruagens, mais seguranca nas carruagens e nas estações de metro, mais acessibilidade para carrinhos de bebê e cadeiras de rodas, mais funcionários nas bilheteiras e nas carruagens e mais simpatia dos mesmos para pedidos de esclarecimentos, menos atrasos e menos greves."
16/10/2018 20:20:19,18 - 24,Female/ Femino,Student/ Estudante,Yes,Porto,2,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","It was easy, was kinda afraid",It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,Yes / Sim,No,Never saw ,Yes / Sim,No / Não,No / Não,No / Não,,,,10,
16/10/2018 20:20:49,25 - 34,Female/ Femino,Employed/ Empregado,Yes,Lisboa,4,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,Não ,Não faço nada,Yes / Sim,Yes / Sim,Maybe / Talvez,Maybe / Talvez,,,,6,
16/10/2018 20:21:25,18 - 24,Female/ Femino,Student/ Estudante,No,,,,,,,,,,,,,,,No / Não,No / Não,No / Não,7,
16/10/2018 20:27:15,25 - 34,Female/ Femino,Employed/ Empregado,Yes,Lisboa,5,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",Medo,It saves money. / Para poupar dinheiro,,Yes / Sim,Sim. Porque quando não tinha dinheiro não pagava então ajudo,Normal cada um sabe de si,Maybe / Talvez,No / Não,No / Não,No / Não,,,,4,Mais metros em curto periodo de tempo 
16/10/2018 20:28:14,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,6,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Tenho passe!,Yes / Sim,"Sim, não quero problemas nem tenho o dever de fazer cumprir as normas do metro.","Olhar, rir, seguir",Maybe / Talvez,No / Não,No / Não,No / Não,,,,6,Melhor gestão do número de comboios em função da hora do dia.
16/10/2018 20:30:29,18 - 24,Female/ Femino,Student/ Estudante,Yes,Porto,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,No / Não,Nao,Descontentamento ,Yes / Sim,Maybe / Talvex,Maybe / Talvez,No / Não,,,,7,
16/10/2018 20:35:03,18 - 24,Female/ Femino,Employed/ Empregado,Yes,Porto,7,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Pago sempre,Yes / Sim,Não ,Deviam de andar os “picas”  e passar uma multa  e bem pesada porque se eu pago os outros também o deveriam de fazer. Custa a todos ,No / Não,No / Não,No / Não,No / Não,,,,10,No Porto meter os torniquetes como no Reino Unido . Algo que não tem lógica é pagarmos o passe e termos que validar não tem lógica está pago está pago . Se não passarmos e vier o revisor ainda levamos com uma multa  o que não tem qualquer lógica 
16/10/2018 20:43:09,18 - 24,Female/ Femino,Student/ Estudante,Yes,Porto,6,No / Não,,,It saves money. / Para poupar dinheiro,,Yes / Sim,Depende mas se for um amigo ou familiar sim,não me aquece nem arrefece,Yes / Sim,No / Não,No / Não,No / Não,,,,1,Preços mais baixos! O transporte é um direito num mundo ideal devia ser totalmente gratuito. Como não vivemos num mundo ideal deviam tentar o mais próximo.
16/10/2018 20:44:13,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,1,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",,It saves money. / Para poupar dinheiro,,No / Não,Sim,Deixo passar,Yes / Sim,Yes / Sim,No / Não,No / Não,,,,5,
16/10/2018 20:45:49,18 - 24,Female/ Femino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",sim,It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,Yes / Sim,"sim, mas normalmente não pedem","Quando passam atrás de desconhecidos: indignação, normalmente quer dizer que fazem isso sempre",Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,3,Mais metros nas horas e ponta; menos greves
16/10/2018 20:47:55,18 - 24,Female/ Femino,Student/ Estudante,Yes,Porto,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Não quero apanhar uma multa,Yes / Sim,Sim porque essa pessoa certamente é minha amiga e quero ajudar os meus amigos,Fico irritada e zangada,Yes / Sim,Yes / Sim,No / Não,No / Não,,,,8,Metros a horas
16/10/2018 20:49:17,25 - 34,Male/ Masculino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,4,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,É um serviço prestado e que deve ser pago.,Yes / Sim,"Não. Paguei pelo meu bilhete, não pelo dos outros.",Ignoro.,Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,7,Mais colaboradores do metro por estação.
16/10/2018 20:56:38,25 - 34,Male/ Masculino,Student/ Estudante,Yes,Lisboa,2,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","was unce cought by the ticket clerk, but since never was cought up.","The ticket is too expensive for the horrible service they have, lack of trains, making long waits for the clients. The line is to loud when the train do a curve, proving that the tracks need to be repaired. Everybody knows the tracks are in super bad condition, because the train needs to go at low speeds to maintain ""safety"".",,Yes / Sim,"normally they don't ask for help, they just pass behind.","Before I was like, ""If they don't pay then they will never have money to repair the trains"". Now? I don't even think about it.",Yes / Sim,Maybe / Talvex,Yes / Sim,Maybe / Talvez,,,,3,"more trains, less time waiting, less noisy tracks, free transports everywhere"
16/10/2018 20:57:57,18 - 24,Female/ Feminino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,7,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,"Não acho que seja justo e creio que, se um grande número de pessoas fizer isso, pode contribuir para um maior desgaste da infraestrutura. Havendo maior desgaste mas não havendo a receita que deveria as condições de manutenção podem não ser tão boas. ",Yes / Sim,Tentaria evitar. ,Fico chateada. ,Yes / Sim,Yes / Sim,No / Não,Maybe / Talvez,,,,8,
16/10/2018 20:58:49,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,Talvez,Tambem raramente ha picas,Yes / Sim,No / Não,No / Não,No / Não,,,,2,
16/10/2018 21:01:39,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,7,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",Foi uma experiencia facil! E muitas vezes os seguranças do metro esto desatentos! Ou veem e fingem que nao.,"It saves money. / Para poupar dinheiro, E por nao ter o passe em que ja o paguei mensamente e esquecer me dele.",,Yes / Sim,"Ja ajudei, mas apenas quando me pedem pra passar comigo. Nao gosto quando a pessoa quer passar e se ""cola"" a mim para o fazer sem me pedir. ","Considero injusto, pois eu pago o passe e a pessoa nao. No entanto, ha pessoas que tm dificuldades e precisam de se deslocar, cada caso  um caso e tm de ser considerados individualmente.",Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,5,Bancos de metro que nao estivessem sujos e gastos.
16/10/2018 21:03:21,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,1,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",Did not get caught.,It was only one time and I had no money.,,Yes / Sim,No.,I do nothing besides getting -_-,Yes / Sim,Maybe / Talvex,No / Não,Maybe / Talvez,,,,9,
16/10/2018 21:05:08,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,Não ,Nenhuma,Yes / Sim,Yes / Sim,No / Não,No / Não,,,,7,
16/10/2018 21:07:24,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Porto,2,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","foi fácil,mas sim,tive receio de algum fiscal aparecer",It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,No / Não,não ,Indignada,Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,10,
16/10/2018 21:12:24,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",,"It saves money. / Para poupar dinheiro, It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa",,No / Não,Sim,"Não me importo, não faço nada, pois já cheguei a fazer o mesmo ",Yes / Sim,No / Não,Maybe / Talvez,No / Não,,,,5,
16/10/2018 21:12:50,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,"Não, cada um dos cidadãos tem deveres e responsabilidades. Neste caso essa pessoa não é diferente, tem o mesmo dever de pagar pelo serviço que vai usar ",Indignação ,Yes / Sim,Yes / Sim,Yes / Sim,Yes / Sim,,,,8,Manutenção de algumas carruagens. 
16/10/2018 21:14:52,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Honestidade,Yes / Sim,"Sim, receio de obter uma reação agressiva.",Disapproval.,Yes / Sim,Yes / Sim,No / Não,No / Não,,,,7,Metros a passar com mais frequencia em horas de ponta
16/10/2018 21:24:42,18 - 24,Female/ Feminino,Student/ Estudante,No,,,,,,,,,,,,,,,Yes / Sim,Yes / Sim,Maybe / Talvez,8,
16/10/2018 21:24:42,25 - 34,Female/ Feminino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,1,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Não tenho coragem,Yes / Sim,Sure,Nenhuma,Yes / Sim,No / Não,No / Não,No / Não,,,,8,
16/10/2018 21:26:22,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,1,No / Não,,,It saves money. / Para poupar dinheiro,,Yes / Sim,"Se for um conhecido, sim, por ser conhecido. Caso contrário, não.",Indiferença,Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,5,More frequent trains in certain times of day
16/10/2018 21:34:41,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Porto,6,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","Tentei não pagar o metro numa madrugada a sair da Queima das Fitas porque uma amiga se estava a sentir mal. Não correu nada bem porque um controlador nos multou às duas, apesar de eu tentar explicar a situação.",It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa,,Yes / Sim,"Não, porque já passei por uma experiência em que sofri as consequências de não pagar.","Ignoro, não há nada que possa fazer e cada pessoa tem responsabilidade para decidir se deve pagar ou não. (A não ser que seja alguém que claramente não sabe como funciona e aí tento ajudar).",Yes / Sim,No / Não,No / Não,No / Não,,,,10,"No caso do Porto, mais metros com 2 triplas. Apesar da sua frequência, nem sempre os metros conseguem levar a quantidade de pessoas necessárias, especialmente em horas de ponta."
16/10/2018 21:39:15,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,6,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Compro o passe mensal,Yes / Sim,"Não, porque o dinheiro dos bilhetes dos transportes públicos são do estado e se aquela pessoa não paga o seu bilhete é menos dinheiro para os serviços públicos.",Acho que deviam ser punidos com uma coima,Yes / Sim,Maybe / Talvex,Yes / Sim,Yes / Sim,,,,9,
16/10/2018 21:44:15,25 - 34,Female/ Feminino,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Nunca foi necessário.,Yes / Sim,Tento apenas não atrapalhar,"Não é o mais justo, mas pode ter as suas razões.",Maybe / Talvez,No / Não,No / Não,No / Não,,,,6,
16/10/2018 21:45:40,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,I have a monthly ticket,Yes / Sim,"i would not help, but also wouldn't dishelp",i think its bad,Yes / Sim,No / Não,No / Não,No / Não,,,,6,more frequency of trucks
16/10/2018 21:46:01,under 18,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","Não há que ter medo, não há picas no metro ","It saves money. / Para poupar dinheiro, It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa",,Yes / Sim,sim,"Sem reação, não tenho nada haver com isso",Yes / Sim,No / Não,Maybe / Talvez,No / Não,,,,6,
16/10/2018 21:48:27,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,1,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",fear of getting caught,It saves money. / Para poupar dinheiro,,Yes / Sim,depends,not fair ,Yes / Sim,Yes / Sim,Maybe / Talvez,No / Não,,,,4,.
16/10/2018 21:50:08,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,7,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Sensatez,Yes / Sim,Só em cadk de acontecimento singular para uma pessoa conhecida,Revolta,Yes / Sim,Yes / Sim,No / Não,Maybe / Talvez,,,,5,
16/10/2018 21:53:56,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,E um serviço logo pago,Yes / Sim,"Não oferecia, mas caso se pusessem atrás seguia como se não fosso comigo",Não ligo muito,No / Não,Yes / Sim,No / Não,No / Não,,,,6,Mais metros ainda em horas de ponta
16/10/2018 21:54:01,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Honestidade,Yes / Sim,Sim,Ok,Yes / Sim,No / Não,No / Não,No / Não,,,,3,"Mais barato, mais comboios "
16/10/2018 21:54:38,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,6,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Porque é contra as regras.,Yes / Sim,Se for um amigo talvez.,Nada.,Maybe / Talvez,Yes / Sim,Maybe / Talvez,Yes / Sim,,,,5,"Mais frequência nos horários para evitar o excesso de pessoas que se verifica, melhoria na infraestrutura, baixar os preços. "
16/10/2018 21:56:49,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Pago por aquilo que usufruo,Yes / Sim,Não nego mas também não ajudo porque não tenho nada a ver com isso,tristeza,Yes / Sim,Yes / Sim,No / Não,No / Não,,,,7,
16/10/2018 21:56:55,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,É imoral,No / Não,Não,"Ignoro, não tem nada a ver comigo",Yes / Sim,Yes / Sim,No / Não,No / Não,,,,7,Mais espaço
16/10/2018 22:02:11,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Nunca senti necessidade de não pagar,Yes / Sim,"Claro, sei que nem toda a gente pode ter oportunidade de pagar por um bilhete",Indiferente ,Yes / Sim,Maybe / Talvex,Maybe / Talvez,No / Não,,,,7,
16/10/2018 22:03:17,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,6,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","No meu primeiro mes com estudante em lisboa não paguei uma vez, nunca fui apanhado nem tive medo. Mesmo hoje, se só for fazer uma viagem durante essa semana por hábito não pago","It saves money. / Para poupar dinheiro, It saves me time when I'm in a rush. / Para poupar tempo quando esotu com pressa",,Yes / Sim,"Depende da atitude que tiver comigo ou se está a chamar a atenção, mas tipicamente deixo que o façam porque acho que o bilhete é demasiado caro para uma viagem, especialmente quando as condições nem sempre são as melhores",Que não sabe fazer as coisas sem chamar a atenção,Maybe / Talvez,No / Não,No / Não,No / Não,,,,5,"Bilhetes e passes mais baratos, que os tempos de espera não fossem tão grandes, que todos os metros fossem de 6 carruagens e que não houvessem tantas vezes perturbações na linha"
16/10/2018 22:06:17,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,1,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,é meu dever pagar o bilhete,Yes / Sim,Não ajudaria mas também não dificultaria (ex. se tentasse passar atrás de mim nas cancelas),Indiferente,Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,5,Comboios sem atrasos. Menos intervalo entre comboios
16/10/2018 22:29:36,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Ethics,Yes / Sim,I would cause saying no would waste time.,"Meh, regular day. ",Maybe / Talvez,No / Não,No / Não,No / Não,,,,3,More frequency
16/10/2018 22:31:53,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,4,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,"Existência de barreiras, e sempre tive disponibilidade/dinheiro para comprar.",Yes / Sim,Dependendo do contexto. Ajudaria se o bilhete da pessoa não estivesse a funcionar.,É tão comum que não tenho nenhuma reacção particular...,Maybe / Talvez,Yes / Sim,No / Não,No / Não,,,,7,Maior frequência dos metros e diminuição de filas e confusão na plataforma
16/10/2018 22:31:53,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,0,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Tenho receio de chegar às estações e me vejam a passar as cancelas sem bilhete e pagar multa. ,Yes / Sim,Depende das situações mas normalmente não. Apenas se a pessoa estiver a precisar de ajuda ou alguma situação que eu considere válida. ,Penso que mais tarde ou mais cedo será apanhado. Inclusive já vi pessoas a serem apanhadas. ,Yes / Sim,Yes / Sim,Maybe / Talvez,No / Não,,,,5,"Dar a opção de se pagar o bilhete com o telemóvel, porque por vezes preciso de pagar bilhete e o metro está a chegar e eu perco-o. Com o telemóvel não teria de ficar na fila ou esperar pelos serviços mais lentos das máquinas. "
16/10/2018 22:42:22,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,7,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",,It saves money. / Para poupar dinheiro,,Yes / Sim,Maybe,Vergonha da falta de civismo ,Yes / Sim,Yes / Sim,No / Não,No / Não,,,,7,
16/10/2018 22:51:49,25 - 34,Male/ Masculino,Employed/ Empregado,Yes,Lisboa,2,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Valores morais,Yes / Sim,Não. Pela razão óbvia de estar a cometer uma ilegalidade,Desaprovação.,Yes / Sim,Yes / Sim,Maybe / Talvez,Maybe / Talvez,,,,3,"Obviamente que aqui a resposta seria metros mais regulares.
Mas sobre o questionário em geral e a problemática dos viajantes ilegais: Acho que o caminho não é acrescentar mais barreiras à entrada/saída do metro, aliás, acho que as barreiras já existentes deveriam ser mais do que suficientes para desencorajar as pessoas a não pagar. O ideal seria mesmo a não existência de barreiras para tornar o fluxo de passageiros mais fluido e o controlo deveria ser feito por controladores dentro do metro (em 8 anos que uso o metro com bastante regularidade nunca apanhei controladores)."
16/10/2018 22:55:28,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,6,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",,Equipamento não funcionava,,Yes / Sim,Maybe,Nada,Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,2,
