Timestamp,How old are you?,Gender:,Job:,Do you use the metro?,Which metro do you use more?,How many days do you usually use the metro each week?,Do you usually pay for your ticket? (Your answer is completely anonymous!),Have you ever tried to not pay?,Can you tell us how that experience did go? Was it easy? Did you fear you might get caught? Have you been controlled?,Why do you sometimes prefer not to pay for your ticket?,Can you tell us why you’ve never tried on a free ride?,Do you easily notice when someone doesn't pay for his/her ride?,"If someone wants you to help him to not pay for his ticket, would you do so? Why?",What is your reaction when you see someone passing through (the barrier if it is in Lisboa) without paying?,"There is a warning light on the floor and an alarm sound, which are activated as soon as someone passes without a valid ticket. Would you be more likely to pay in this case?",Would this motivate you to judge someone who is not paying?,"In such a case, would you consider calling that person?",And would you consider calling a nearby authority?,...cheaper?,...quicker to buy a ticket?,...easier to buy a ticket?,How pleased are you with the use of the Metro ?,What would you recommend to increase the general satisfaction of the metro users ?
17/10/2018 11:49:32,25 - 34,Male/ Masculino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,5,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez","Foi fixe, obrigado","It saves money. / Para poupar dinheiro, Há situações em que não tenho dinheiro e gosto de ir para casa",,No / Não,"Sim, porque não tenho nada a ver com o problema da pessoa e ele ou ela pode estar numa má situação. Em geral, as pessoas querem deslocar-se no metro para ir trabalhar, ir para casa, ir ao médico, entre outras coisas que acho importante ajudar.",A mesma que teria se entrasse com bilhete.,No / Não,No / Não,No / Não,No / Não,,,,4,"Aumentarem o número de estações é inútil se não renovarem a frota e não melhorarem os horários. Na minha zona não há metro, mas prefiro que melhorem o que já existe do que implementarem metro na minha zona. "
17/10/2018 11:50:15,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,1,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,Não,Ignorar,Yes / Sim,No / Não,No / Não,No / Não,,,,5,
17/10/2018 11:50:17,25 - 34,Male/ Masculino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,7,Yes / Sim,"Yes, I tried to ride for free once / sim, já tentei andar sem pagar uma vez",o metro nao tem picas,tinha me esquecido do passe,,Yes / Sim,"sim, porque devemos ajudar o próximo.",nao quero saber,No / Não,No / Não,No / Não,No / Não,,,,5,mais metros
17/10/2018 12:13:28,25 - 34,Male/ Masculino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,1,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,"Because I'm a civilized person, maybe?",No / Não,"No. Pay, bitch.","Honestly, I don't care. Will I risk getting stabbed or my ass kicked for one ride? Also, there are security guards there, they should control. If they don't increase the security it's because either: a) they don't care or b) it's not worth it.",Yes / Sim,Maybe / Talvex,No / Não,Maybe / Talvez,,,,3,"Increase number of trains, reducing waiting times along with more carriages during rush hours so I won't feel like a canned sardine."
17/10/2018 12:13:35,25 - 34,Female/ Feminino,Student-worker/ Trabalhador-estudante,Yes,Lisboa,6,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Porque é necessário. ,Yes / Sim,Não. Porque não é correto. Prefiro dar o dinheiro.,Irrita-me seriamente,Yes / Sim,Yes / Sim,Yes / Sim,Yes / Sim,,,,4,Mais manutenção. Está sempre a avariar.
17/10/2018 12:14:36,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,6,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,Sim,Ignoro,Yes / Sim,No / Não,No / Não,No / Não,,,,7,"Menor tempo de espera, ou seja, circulação com maior frequência."
17/10/2018 12:21:15,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,5,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,"O metro é um serviço, e é só justo pagar pelos serviços que consumo",No / Não,"Não, a não ser que seja um conhecido, nesse caso se é excepcionalmente posso ajudar.",Geralmente ignoro.,Yes / Sim,Maybe / Talvex,Maybe / Talvez,No / Não,,,,6,Mais frequência de passagem/menos atrasos
17/10/2018 12:24:30,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,2,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,"Everybody should pay if they are using it. The money lost could be used to improve the system, which is already pretty bad",Yes / Sim,Depends on the situation,I get frustrated because nobody cares or does anything (security),Yes / Sim,Maybe / Talvex,No / Não,No / Não,,,,2,"More trains, less wait time"
17/10/2018 12:47:55,18 - 24,Male/ Masculino,Student/ Estudante,Yes,Lisboa,7,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,Porque nao necessitei,Yes / Sim,So ajudaria caso reparasse que era uma situação urgente e eu nao tivesse dinheiro para pagar o bilhete ao cujo,Fico triste,Yes / Sim,Yes / Sim,Maybe / Talvez,No / Não,,,,8,Mais seguranças em cada paragem
17/10/2018 13:02:47,18 - 24,Female/ Feminino,Student/ Estudante,Yes,Lisboa,7,Yes / Sim,"No, I always paid for my ride / não, pago sempre pela minha viagem",,,,Yes / Sim,No,Indiferente ,Yes / Sim,No / Não,No / Não,No / Não,,,,8,"Mais metros, novos metros (há sempre demasiadas avarias) "
